[WEBUI] delivery config normalized | mode=private | firebase=on | discord=off | telegram_enabled=no | telegram_bot_api=no | telegram_token_valid=no | telegram_chat_id_present=no | telegram_ready=no
[WEBUI] Firebase mirror enabled. SQLite remains the source of truth; dashboard view source is user-selected.

--- RENDER DASHBOARD IS RUNNING ---
DoneYet / JDTool for Houdini | Build 2026.04.07 | Owner: Truong Do Trung Hieu | JamesDo
Local:  http://127.0.0.1:8000
DB:     D:\Antigravity\PluginHoudini_JDTool\packages\JDTool\doneyet_render_tracker.db
Public: unavailable (bundle cloudflared.exe to enable)
-----------------------------------

127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:05] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:08] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:11] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:11] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:11] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:11] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:13] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:13] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:14] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:14] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:16] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:16] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:17] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:17] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:20] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:20] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:23] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:23] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:23] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:23] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:26] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:26] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:26] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:26] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:29] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:29] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:29] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:29] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:32] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:32] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:32] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:32] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:35] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:35] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:38] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:38] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:39] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:39] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:41] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:41] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:41] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:41] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:44] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:44] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:44] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:44] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:47] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:47] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:47] "GET /server_runtime.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:47] "GET /api/service_status HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:50] "GET /api/data HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 20:49:50] "GET /api/service_status HTTP/1.1" 200 -
